Question,Response,processed_question,processed_response,question_seq,response_seq,padded_question,padded_response
i have actually been pretty good you,i am actually in school right now,"['i', 'have', 'actually', 'been', 'pretty', 'good', 'you']","['i', 'am', 'actually', 'in', 'school', 'right', 'now']","[6, 19, 48, 20, 11, 12, 4]","[6, 7, 48, 23, 24, 25, 26]","[6, 19, 48, 20, 11, 12, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 7, 48, 23, 24, 25, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i am actually in school right now,which school do you attend,"['i', 'am', 'actually', 'in', 'school', 'right', 'now']","['which', 'school', 'do', 'you', 'attend']","[6, 7, 48, 23, 24, 25, 26]","[49, 24, 27, 4, 50]","[6, 7, 48, 23, 24, 25, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[49, 24, 27, 4, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
which school do you attend,i am attending pcc right now,"['which', 'school', 'do', 'you', 'attend']","['i', 'am', 'attending', 'pc', '##c', 'right', 'now']","[49, 24, 27, 4, 50]","[6, 7, 51, 30, 31, 25, 26]","[49, 24, 27, 4, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 7, 51, 30, 31, 25, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i am attending pcc right now,are you enjoying it there,"['i', 'am', 'attending', 'pc', '##c', 'right', 'now']","['are', 'you', 'enjoying', 'it', 'there']","[6, 7, 51, 30, 31, 25, 26]","[3, 4, 52, 33, 34]","[6, 7, 51, 30, 31, 25, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 4, 52, 33, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
are you enjoying it there,it is not bad there are a lot of people there,"['are', 'you', 'enjoying', 'it', 'there']","['it', 'is', 'not', 'bad', 'there', 'are', 'a', 'lot', 'of', 'people', 'there']","[3, 4, 52, 33, 34]","[33, 35, 53, 54, 34, 3, 37, 55, 56, 57, 34]","[3, 4, 52, 33, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 35, 53, 54, 34, 3, 37, 55, 56, 57, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
it is not bad there are a lot of people there,good luck with that,"['it', 'is', 'not', 'bad', 'there', 'are', 'a', 'lot', 'of', 'people', 'there']","['good', 'luck', 'with', 'that']","[33, 35, 53, 54, 34, 3, 37, 55, 56, 57, 34]","[12, 41, 42, 58]","[33, 35, 53, 54, 34, 3, 37, 55, 56, 57, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 41, 42, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
good luck with that,thanks,"['good', 'luck', 'with', 'that']",['thanks'],"[12, 41, 42, 58]",[13],"[12, 41, 42, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
how are you doing today,i am doing great what about you,"['how', 'are', 'you', 'doing', 'today']","['i', 'am', 'doing', 'great', 'what', 'about', 'you']","[2, 3, 4, 5, 59]","[6, 7, 5, 21, 22, 9, 4]","[2, 3, 4, 5, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 7, 5, 21, 22, 9, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i am doing great what about you,i am absolutely lovely thank you,"['i', 'am', 'doing', 'great', 'what', 'about', 'you']","['i', 'am', 'absolutely', 'lovely', 'thank', 'you']","[6, 7, 5, 21, 22, 9, 4]","[6, 7, 60, 61, 62, 4]","[6, 7, 5, 21, 22, 9, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 7, 60, 61, 62, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i am absolutely lovely thank you,everythings been good with you,"['i', 'am', 'absolutely', 'lovely', 'thank', 'you']","['everything', '##s', 'been', 'good', 'with', 'you']","[6, 7, 60, 61, 62, 4]","[63, 64, 20, 12, 42, 4]","[6, 7, 60, 61, 62, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[63, 64, 20, 12, 42, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
everythings been good with you,i have not been better how about yourself,"['everything', '##s', 'been', 'good', 'with', 'you']","['i', 'have', 'not', 'been', 'better', 'how', 'about', 'yourself']","[63, 64, 20, 12, 42, 4]","[6, 19, 53, 20, 46, 2, 9, 10]","[63, 64, 20, 12, 42, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 19, 53, 20, 46, 2, 9, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i have not been better how about yourself,i started school recently,"['i', 'have', 'not', 'been', 'better', 'how', 'about', 'yourself']","['i', 'started', 'school', 'recently']","[6, 19, 53, 20, 46, 2, 9, 10]","[6, 65, 24, 66]","[6, 19, 53, 20, 46, 2, 9, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 65, 24, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i started school recently,where are you going to school,"['i', 'started', 'school', 'recently']","['where', 'are', 'you', 'going', 'to', 'school']","[6, 65, 24, 66]","[67, 3, 4, 43, 29, 24]","[6, 65, 24, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[67, 3, 4, 43, 29, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
where are you going to school,i am going to pcc,"['where', 'are', 'you', 'going', 'to', 'school']","['i', 'am', 'going', 'to', 'pc', '##c']","[67, 3, 4, 43, 29, 24]","[6, 7, 43, 29, 30, 31]","[67, 3, 4, 43, 29, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 7, 43, 29, 30, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i am going to pcc,how do you like it so far,"['i', 'am', 'going', 'to', 'pc', '##c']","['how', 'do', 'you', 'like', 'it', 'so', 'far']","[6, 7, 43, 29, 30, 31]","[2, 27, 4, 32, 33, 18, 68]","[6, 7, 43, 29, 30, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 27, 4, 32, 33, 18, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
how do you like it so far,i like it so far my classes are pretty good right now,"['how', 'do', 'you', 'like', 'it', 'so', 'far']","['i', 'like', 'it', 'so', 'far', 'my', 'class', 'are', 'pretty', 'good', 'right', 'now']","[2, 27, 4, 32, 33, 18, 68]","[6, 32, 33, 18, 68, 69, 70, 3, 11, 12, 25, 26]","[2, 27, 4, 32, 33, 18, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 32, 33, 18, 68, 69, 70, 3, 11, 12, 25, 26, 0, 0, 0, 0, 0, 0, 0, 0]"
i like it so far my classes are pretty good right now,i wish you luck,"['i', 'like', 'it', 'so', 'far', 'my', 'class', 'are', 'pretty', 'good', 'right', 'now']","['i', 'wish', 'you', 'luck']","[6, 32, 33, 18, 68, 69, 70, 3, 11, 12, 25, 26]","[6, 98, 4, 41]","[6, 32, 33, 18, 68, 69, 70, 3, 11, 12, 25, 26, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 98, 4, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
it is an ugly day today,i know i think it may rain,"['it', 'is', 'an', 'ugly', 'day', 'today']","['i', 'know', 'i', 'think', 'it', 'may', 'rain']","[33, 35, 71, 72, 73, 59]","[6, 74, 6, 75, 33, 76, 77]","[33, 35, 71, 72, 73, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 74, 6, 75, 33, 76, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i know i think it may rain,it is the middle of summer it should not rain today,"['i', 'know', 'i', 'think', 'it', 'may', 'rain']","['it', 'is', 'the', 'middle', 'of', 'summer', 'it', 'should', 'not', 'rain', 'today']","[6, 74, 6, 75, 33, 76, 77]","[33, 35, 78, 79, 56, 80, 33, 81, 53, 77, 59]","[6, 74, 6, 75, 33, 76, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 35, 78, 79, 56, 80, 33, 81, 53, 77, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
it is the middle of summer it should not rain today,that would be weird,"['it', 'is', 'the', 'middle', 'of', 'summer', 'it', 'should', 'not', 'rain', 'today']","['that', 'would', 'be', 'weird']","[33, 35, 78, 79, 56, 80, 33, 81, 53, 77, 59]","[58, 82, 83, 84]","[33, 35, 78, 79, 56, 80, 33, 81, 53, 77, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58, 82, 83, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
that would be weird,yeah especially since it is ninety degrees outside,"['that', 'would', 'be', 'weird']","['yeah', 'especially', 'since', 'it', 'is', 'ninety', 'degree', 'outside']","[58, 82, 83, 84]","[85, 86, 87, 33, 35, 88, 89, 90]","[58, 82, 83, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[85, 86, 87, 33, 35, 88, 89, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
yeah especially since it is ninety degrees outside,i know it would be horrible if it rained and it was hot outside,"['yeah', 'especially', 'since', 'it', 'is', 'ninety', 'degree', 'outside']","['i', 'know', 'it', 'would', 'be', 'horrible', 'if', 'it', 'rained', 'and', 'it', 'wa', 'hot', 'outside']","[85, 86, 87, 33, 35, 88, 89, 90]","[6, 74, 33, 82, 83, 91, 92, 33, 93, 94, 33, 95, 96, 90]","[85, 86, 87, 33, 35, 88, 89, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 74, 33, 82, 83, 91, 92, 33, 93, 94, 33, 95, 96, 90, 0, 0, 0, 0, 0, 0]"
i know it would be horrible if it rained and it was hot outside,yes it would be,"['i', 'know', 'it', 'would', 'be', 'horrible', 'if', 'it', 'rained', 'and', 'it', 'wa', 'hot', 'outside']","['yes', 'it', 'would', 'be']","[6, 74, 33, 82, 83, 91, 92, 33, 93, 94, 33, 95, 96, 90]","[97, 33, 82, 83]","[6, 74, 33, 82, 83, 91, 92, 33, 93, 94, 33, 95, 96, 90, 0, 0, 0, 0, 0, 0]","[97, 33, 82, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
yes it would be,i really wish it was not so hot every day,"['yes', 'it', 'would', 'be']","['i', 'really', 'wish', 'it', 'wa', 'not', 'so', 'hot', 'every', 'day']","[97, 33, 82, 83]","[6, 38, 98, 33, 95, 53, 18, 96, 99, 73]","[97, 33, 82, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 38, 98, 33, 95, 53, 18, 96, 99, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i really wish it was not so hot every day,me too i cannot wait until winter,"['i', 'really', 'wish', 'it', 'wa', 'not', 'so', 'hot', 'every', 'day']","['me', 'too', 'i', 'cannot', 'wait', 'until', 'winter']","[6, 38, 98, 33, 95, 53, 18, 96, 99, 73]","[100, 101, 6, 102, 103, 104, 105]","[6, 38, 98, 33, 95, 53, 18, 96, 99, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[100, 101, 6, 102, 103, 104, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
me too i cannot wait until winter,i like winter too but sometimes it gets too cold,"['me', 'too', 'i', 'cannot', 'wait', 'until', 'winter']","['i', 'like', 'winter', 'too', 'but', 'sometimes', 'it', 'get', 'too', 'cold']","[100, 101, 6, 102, 103, 104, 105]","[6, 32, 105, 101, 106, 107, 33, 108, 101, 109]","[100, 101, 6, 102, 103, 104, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 32, 105, 101, 106, 107, 33, 108, 101, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i like winter too but sometimes it gets too cold,i would rather be cold than hot,"['i', 'like', 'winter', 'too', 'but', 'sometimes', 'it', 'get', 'too', 'cold']","['i', 'would', 'rather', 'be', 'cold', 'than', 'hot']","[6, 32, 105, 101, 106, 107, 33, 108, 101, 109]","[6, 82, 110, 83, 109, 111, 96]","[6, 32, 105, 101, 106, 107, 33, 108, 101, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 82, 110, 83, 109, 111, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i would rather be cold than hot,me too,"['i', 'would', 'rather', 'be', 'cold', 'than', 'hot']","['me', 'too']","[6, 82, 110, 83, 109, 111, 96]","[100, 101]","[6, 82, 110, 83, 109, 111, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[100, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
it does not look very nice outside today,you are right i think it is going to rain later,"['it', 'doe', 'not', 'look', 'very', 'nice', 'outside', 'today']","['you', 'are', 'right', 'i', 'think', 'it', 'is', 'going', 'to', 'rain', 'later']","[33, 112, 53, 113, 114, 115, 90, 59]","[4, 3, 25, 6, 75, 33, 35, 43, 29, 77, 116]","[33, 112, 53, 113, 114, 115, 90, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 3, 25, 6, 75, 33, 35, 43, 29, 77, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
you are right i think it is going to rain later,in the middle of the summer it should not be raining,"['you', 'are', 'right', 'i', 'think', 'it', 'is', 'going', 'to', 'rain', 'later']","['in', 'the', 'middle', 'of', 'the', 'summer', 'it', 'should', 'not', 'be', 'raining']","[4, 3, 25, 6, 75, 33, 35, 43, 29, 77, 116]","[23, 78, 79, 56, 78, 80, 33, 81, 53, 83, 117]","[4, 3, 25, 6, 75, 33, 35, 43, 29, 77, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23, 78, 79, 56, 78, 80, 33, 81, 53, 83, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
in the middle of the summer it should not be raining,that would not seem right,"['in', 'the', 'middle', 'of', 'the', 'summer', 'it', 'should', 'not', 'be', 'raining']","['that', 'would', 'not', 'seem', 'right']","[23, 78, 79, 56, 78, 80, 33, 81, 53, 83, 117]","[58, 82, 53, 118, 25]","[23, 78, 79, 56, 78, 80, 33, 81, 53, 83, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58, 82, 53, 118, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
that would not seem right,considering that it is over ninety degrees outside that would be weird,"['that', 'would', 'not', 'seem', 'right']","['considering', 'that', 'it', 'is', 'over', 'ninety', 'degree', 'outside', 'that', 'would', 'be', 'weird']","[58, 82, 53, 118, 25]","[119, 58, 33, 35, 120, 88, 89, 90, 58, 82, 83, 84]","[58, 82, 53, 118, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[119, 58, 33, 35, 120, 88, 89, 90, 58, 82, 83, 84, 0, 0, 0, 0, 0, 0, 0, 0]"
considering that it is over ninety degrees outside that would be weird,exactly it would not be nice if it started raining it is too hot,"['considering', 'that', 'it', 'is', 'over', 'ninety', 'degree', 'outside', 'that', 'would', 'be', 'weird']","['exactly', 'it', 'would', 'not', 'be', 'nice', 'if', 'it', 'started', 'raining', 'it', 'is', 'too', 'hot']","[119, 58, 33, 35, 120, 88, 89, 90, 58, 82, 83, 84]","[121, 33, 82, 53, 83, 115, 92, 33, 65, 117, 33, 35, 101, 96]","[119, 58, 33, 35, 120, 88, 89, 90, 58, 82, 83, 84, 0, 0, 0, 0, 0, 0, 0, 0]","[121, 33, 82, 53, 83, 115, 92, 33, 65, 117, 33, 35, 101, 96, 0, 0, 0, 0, 0, 0]"
exactly it would not be nice if it started raining it is too hot,i know you are absolutely right,"['exactly', 'it', 'would', 'not', 'be', 'nice', 'if', 'it', 'started', 'raining', 'it', 'is', 'too', 'hot']","['i', 'know', 'you', 'are', 'absolutely', 'right']","[121, 33, 82, 53, 83, 115, 92, 33, 65, 117, 33, 35, 101, 96]","[6, 74, 4, 3, 60, 25]","[121, 33, 82, 53, 83, 115, 92, 33, 65, 117, 33, 35, 101, 96, 0, 0, 0, 0, 0, 0]","[6, 74, 4, 3, 60, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i know you are absolutely right,i wish it would cool off one day,"['i', 'know', 'you', 'are', 'absolutely', 'right']","['i', 'wish', 'it', 'would', 'cool', 'off', 'one', 'day']","[6, 74, 4, 3, 60, 25]","[6, 98, 33, 82, 122, 123, 124, 73]","[6, 74, 4, 3, 60, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 98, 33, 82, 122, 123, 124, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i wish it would cool off one day,that is how i feel i want winter to come soon,"['i', 'wish', 'it', 'would', 'cool', 'off', 'one', 'day']","['that', 'is', 'how', 'i', 'feel', 'i', 'want', 'winter', 'to', 'come', 'soon']","[6, 98, 33, 82, 122, 123, 124, 73]","[58, 35, 2, 6, 125, 6, 126, 105, 29, 127, 128]","[6, 98, 33, 82, 122, 123, 124, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58, 35, 2, 6, 125, 6, 126, 105, 29, 127, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
that is how i feel i want winter to come soon,i enjoy the winter but it gets really cold sometimes,"['that', 'is', 'how', 'i', 'feel', 'i', 'want', 'winter', 'to', 'come', 'soon']","['i', 'enjoy', 'the', 'winter', 'but', 'it', 'get', 'really', 'cold', 'sometimes']","[58, 35, 2, 6, 125, 6, 126, 105, 29, 127, 128]","[6, 129, 78, 105, 106, 33, 108, 38, 109, 107]","[58, 35, 2, 6, 125, 6, 126, 105, 29, 127, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 129, 78, 105, 106, 33, 108, 38, 109, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i enjoy the winter but it gets really cold sometimes,i know what you mean but i would rather be cold than hot,"['i', 'enjoy', 'the', 'winter', 'but', 'it', 'get', 'really', 'cold', 'sometimes']","['i', 'know', 'what', 'you', 'mean', 'but', 'i', 'would', 'rather', 'be', 'cold', 'than', 'hot']","[6, 129, 78, 105, 106, 33, 108, 38, 109, 107]","[6, 74, 22, 4, 130, 106, 6, 82, 110, 83, 109, 111, 96]","[6, 129, 78, 105, 106, 33, 108, 38, 109, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 74, 22, 4, 130, 106, 6, 82, 110, 83, 109, 111, 96, 0, 0, 0, 0, 0, 0, 0]"
i know what you mean but i would rather be cold than hot,that is exactly how i feel,"['i', 'know', 'what', 'you', 'mean', 'but', 'i', 'would', 'rather', 'be', 'cold', 'than', 'hot']","['that', 'is', 'exactly', 'how', 'i', 'feel']","[6, 74, 22, 4, 130, 106, 6, 82, 110, 83, 109, 111, 96]","[58, 35, 121, 2, 6, 125]","[6, 74, 22, 4, 130, 106, 6, 82, 110, 83, 109, 111, 96, 0, 0, 0, 0, 0, 0, 0]","[58, 35, 121, 2, 6, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
